name,item_id,original_price,price,discount,rating,review,location,seller_name,seller_id,item_sold,item_url,image_url
"Acer Swift Go SFG14-42-R5RB (NX.KG5SI.003) AMD Ryzen 5 7530U 2.0 to 4.5GHz, 8GB, 512GB SSD, Win 11, 14 Inch FHD IPS Laptop",347685192,80000.0,77500.0,,0.0,0,Chattogram,JANANI COMPUTERS (CTG),1043982,0,//www.daraz.com.bd/products/acer-swift-go-sfg14-42-r5rb-nxkg5si003-amd-ryzen-5-7530u-20-to-45ghz-8gb-512gb-ssd-win-11-14-inch-fhd-ips-laptop-i347685192.html,https://static-01.daraz.com.bd/p/6b94a1eb605c85c58463746e7c4d1c70.png
ASUS Vivobook Go 15 E1504FA-BQ372W AMD Ryzen 5-7520U 16GB DDR5 RAM 512GB SSD 15.6 Inch FHD Laptop,343241320,79500.0,73900.0,,0.0,0,Chattogram,BD SALE CTG,700539351781,0,//www.daraz.com.bd/products/asus-vivobook-go-15-e1504fa-bq372w-amd-ryzen-5-7520u-16gb-ddr5-ram-512gb-ssd-156-inch-fhd-laptop-i343241320.html,https://static-01.daraz.com.bd/p/2253668fcbbc4f3c5e300be36ccec05e.jpg
ASUS Vivobook 15 X1504VA-NJ261W 13th Gen Intel Core i5-1335U  8GB RAM 512GB SSD 15.6 Inch FHD Laptop,340930646,92500.0,84500.0,,0.0,0,Chattogram,BD SALE CTG,700539351781,0,//www.daraz.com.bd/products/asus-vivobook-15-x1504va-nj261w-13th-gen-intel-core-i5-1335u-8gb-ram-512gb-ssd-156-inch-fhd-laptop-i340930646.html,https://static-01.daraz.com.bd/p/443068a5bffa20a57f82d135f1e1ca1f.jpg
"ASUS VivoBook 15 X515JA Core i5 10th Gen 8GB RAM 15.6"" FHD Laptop",340317920,-1.0,64700.0,,0.0,0,Chattogram,BD SALE CTG,700539351781,0,//www.daraz.com.bd/products/asus-vivobook-15-x515ja-core-i5-10th-gen-8gb-ram-156-fhd-laptop-i340317920.html,https://static-01.daraz.com.bd/p/b84c022f5d7ddc49999fd33509f9177d.jpg
"Infinix InBook Y2 Plus 11th Gen i5-1155G7 2.5 To 4.5GHz, 8GB, 512GB SSD, Win 11, 15.6"" FHD Laptop",337003491,63200.0,60499.0,,0.0,0,Chattogram,BD Sales,700507764232,0,//www.daraz.com.bd/products/infinix-inbook-y2-plus-11th-gen-i5-1155g7-25-to-45ghz-8gb-512gb-ssd-win-11-156-fhd-laptop-i337003491.html,https://static-01.daraz.com.bd/p/2940e9674ecbf3ba08a968bd7a53c309.png
"Chuwi GemiBook XPro 14.1 Inch N100 3.4GHz, 8GB, 256GB, Win11 Laptop",336008908,42000.0,35200.0,,0.0,0,Chattogram,BD SALE CTG,700539351781,0,//www.daraz.com.bd/products/chuwi-gemibook-xpro-141-inch-n100-34ghz-8gb-256gb-win11-laptop-i336008908.html,https://static-01.daraz.com.bd/p/6c7c7362a1af7201a5de799d83a18d84.png
HP ProBook 450 G9 Intel Core i5 12th gen 8GB Ram 15.6 Inch FHD Display Laptop,320961957,98000.0,91999.0,,0.0,0,Dhaka,Intimacy Computer & Solutions,700518771541,0,//www.daraz.com.bd/products/hp-probook-450-g9-intel-core-i5-12th-gen-8gb-ram-156-inch-fhd-display-laptop-i320961957.html,https://static-01.daraz.com.bd/p/8b891d37f211f6207483d9632dbf8019.jpg
"Gigabyte Gaming G5 KF 12th Gen i5-12500H 2.5 To 4.5GHz, 8GB, 512GB SSD, RTX4060 6GB, Win 11 Home, 15.6 Inch FHD Gaming Laptop",318826357,146500.0,142300.0,,0.0,0,Chattogram,MS Royal Select,700534707572,0,//www.daraz.com.bd/products/gigabyte-gaming-g5-kf-12th-gen-i5-12500h-25-to-45ghz-8gb-512gb-ssd-rtx4060-6gb-win-11-home-156-inch-fhd-gaming-laptop-i318826357.html,https://static-01.daraz.com.bd/p/e9af9c8b57ab99785fd6412ab8ed4dc2.png
"MSI Modern 15 B13M 13th Gen Core i7-1355U 3.7 to 5 GHz, 16GB RAM, 512GB SSD, Win 11, 15.6 FHD Laptop",316496245,116900.0,110999.0,,0.0,0,Chattogram,BD SALE CTG,700539351781,0,//www.daraz.com.bd/products/msi-modern-15-b13m-13th-gen-core-i7-1355u-37-to-5-ghz-16gb-ram-512gb-ssd-win-11-156-fhd-laptop-i316496245.html,https://static-01.daraz.com.bd/p/f9e253fea8592c952268c08b501815b7.png
"MSI Modern 15 B11M 11th Gen i5-1155G7 2.5GHZ to 4.5GHz, 8GB RAM, 512GB SSD, Windows 11 Home, 15.6 Inch FHD Laptop",314267274,82000.0,76500.0,,0.0,0,Chattogram,BD SALE CTG,700539351781,0,//www.daraz.com.bd/products/msi-modern-15-b11m-11th-gen-i5-1155g7-25ghz-to-45ghz-8gb-ram-512gb-ssd-windows-11-home-156-inch-fhd-laptop-i314267274.html,https://static-01.daraz.com.bd/p/9fcc6f4531058bc6039df575f8cb2dcb.jpg
"Acer Swift 3 SF314-52-532A (NX.K0FSI.001) Intel i5-1240P 3.3 to 4.4 GHz, 16GB, 512GB SSD, 14"" QHD Laptop",314172337,117900.0,114850.0,,0.0,0,Chattogram,MS Royal Select,700534707572,0,//www.daraz.com.bd/products/acer-swift-3-sf314-52-532a-nxk0fsi001-intel-i5-1240p-33-to-44-ghz-16gb-512gb-ssd-14-qhd-laptop-i314172337.html,https://static-01.daraz.com.bd/p/814aa5b095e164a4003078187a469822.png
"Lenovo ThinkPad E14 (20TBS2W000-3Y) 11th Gen Core i3-1115G4 3 to 4.1GHz, 4GB, 512GB SSD, 14 Inch FHD Laptop",311967585,69000.0,65399.0,,0.0,0,Chattogram,JANANI COMPUTERS (CTG),1043982,0,//www.daraz.com.bd/products/lenovo-thinkpad-e14-20tbs2w000-3y-11th-gen-core-i3-1115g4-3-to-41ghz-4gb-512gb-ssd-14-inch-fhd-laptop-i311967585.html,https://static-01.daraz.com.bd/p/674faa9be9f8660d873b6bcf5370458d.jpg
"Lenovo ThinkPad E14 11th Gen Core i5-1135G7 2.4 to 4.2GHz, 8GB, 512GB SSD, Iris Graphics, 14 Inch FHD Laptop (20TBS6VA00-3Y)",311966846,107200.0,101200.0,,0.0,0,Chattogram,MS Royal Select,700534707572,0,//www.daraz.com.bd/products/lenovo-thinkpad-e14-11th-gen-core-i5-1135g7-24-to-42ghz-8gb-512gb-ssd-iris-graphics-14-inch-fhd-laptop-20tbs6va00-3y-i311966846.html,https://static-01.daraz.com.bd/p/1ed2a7824be1fddfb32d205dfec16ffa.png
AVITA LIBER V14 || Intel Core i5-1135G7/8GB RAM/512 GB SSD/14 Inch FHD Display/Aqua Blue,256461944,-1.0,79651.0,,0.0,0,Dhaka,B-Trac Technologies Ltd.,700507230020,0,//www.daraz.com.bd/products/avita-liber-v14-i5-1135g78gb-ram512-gb-ssd14-fhd-i256461944.html,https://static-01.daraz.com.bd/p/b6e73e32364f860d56975ed01b37407d.jpg
AVITA LIBER V14 || Intel Core i5-1135G7/8GB RAM/512 GB SSD/14 Inch FHD Display/Soft Lavender,248387151,-1.0,77000.0,,0.0,0,Dhaka,B-Trac Technologies Ltd.,700507230020,0,//www.daraz.com.bd/products/avita-liber-v14-i5-1135g78gb-ram512-gb-ssd14-fhd-i248387151.html,https://static-01.daraz.com.bd/p/3377e9d30f14e90b53cdc9e307c521c9.jpg
"MSI Modern 14 B11SB 11th Gen i5-1135G7 2.4 to 4.2GHz, 8GB, 1TB SSD, MX450 2GB Graphics, 14 FHD Laptop (Beige Mousse)",248049132,92000.0,87999.0,,0.0,0,Chattogram,JANANI COMPUTERS (CTG),1043982,0,//www.daraz.com.bd/products/msi-modern-14-b11sb-11th-gen-i5-1135g7-24-to-42ghz-8gb-1tb-ssd-mx450-2gb-graphics-14-fhd-laptop-beige-mousse-i248049132.html,https://static-01.daraz.com.bd/p/3311ef449d63f86914d275c97b2663c9.jpg
"Acer Extensa EX215-52-56FJ 10th Gen i5-1035G1 8GB, 1TB, Win 10 Home, 15.6 Laptop",191917800,61000.0,57500.0,,0.0,0,Chattogram,JANANI COMPUTERS (CTG),1043982,0,//www.daraz.com.bd/products/acer-extensa-ex215-52-56fj-10th-gen-i5-1035g1-8gb-1tb-win-10-home-156-laptop-i191917800.html,https://static-01.daraz.com.bd/p/de09cef260edc89065cd3067238158bc.jpg
